Category,Quote,Author
books,"A capacity, and taste, for reading, gives access to whatever has already been discovered by others. It is the key, or one of the keys, to the already solved problems. And not only so. It gives a relish, and facility, for successfully pursuing the [yet] unsolved ones.",Abraham Lincoln
discovery,"A capacity, and taste, for reading, gives access to whatever has already been discovered by others. It is the key, or one of the keys, to the already solved problems. And not only so. It gives a relish, and facility, for successfully pursuing the [yet] unsolved ones.",Abraham Lincoln
education,"A capacity, and taste, for reading, gives access to whatever has already been discovered by others. It is the key, or one of the keys, to the already solved problems. And not only so. It gives a relish, and facility, for successfully pursuing the [yet] unsolved ones.",Abraham Lincoln
reading,"A capacity, and taste, for reading, gives access to whatever has already been discovered by others. It is the key, or one of the keys, to the already solved problems. And not only so. It gives a relish, and facility, for successfully pursuing the [yet] unsolved ones.",Abraham Lincoln
wisdom,A house divided cannot stand.,Abraham Lincoln
achievement,Achievement has no color.,Abraham Lincoln
inspirational,Achievement has no color.,Abraham Lincoln
racism,Achievement has no color.,Abraham Lincoln
books,"All I have learned, I learned from books.",Abraham Lincoln
education,"All I have learned, I learned from books.",Abraham Lincoln
lifelong-learning,"All I have learned, I learned from books.",Abraham Lincoln
reading,"All I have learned, I learned from books.",Abraham Lincoln
self-education,"All I have learned, I learned from books.",Abraham Lincoln
inspirational,Always bear in mind that your own resolution to succeed is more important than any one thing.,Abraham Lincoln
perseverance,Always bear in mind that your own resolution to succeed is more important than any one thing.,Abraham Lincoln
success,Always bear in mind that your own resolution to succeed is more important than any one thing.,Abraham Lincoln
books,Books serve to show a man that those original thoughts of his aren't very new after all.,Abraham Lincoln
originality,Books serve to show a man that those original thoughts of his aren't very new after all.,Abraham Lincoln
unique,Books serve to show a man that those original thoughts of his aren't very new after all.,Abraham Lincoln
enemies,Do I not destroy my enemies when I make them my friends?,Abraham Lincoln
friend,Do I not destroy my enemies when I make them my friends?,Abraham Lincoln
friends,Do I not destroy my enemies when I make them my friends?,Abraham Lincoln
friendship,Do I not destroy my enemies when I make them my friends?,Abraham Lincoln
life,Do I not destroy my enemies when I make them my friends?,Abraham Lincoln
happiness,Folks are usually about as happy as they make their minds up to be.,Abraham Lincoln
inspirational,"Fourscore and seven years ago our fathers brought forth on this continent, a new nation, conceived in Liberty, and dedicated to the proposition that all men are created equal.",Abraham Lincoln
books,"Get books, sit yourself down anywhere, and go to reading them yourself.",Abraham Lincoln
reading,"Get books, sit yourself down anywhere, and go to reading them yourself.",Abraham Lincoln
honesty,"I am not bound to win, but I am bound to be true. I am not bound to succeed, but I am bound to live up to what light I have.",Abraham Lincoln
honor,"I am not bound to win, but I am bound to be true. I am not bound to succeed, but I am bound to live up to what light I have.",Abraham Lincoln
integrity,"I am not bound to win, but I am bound to be true. I am not bound to succeed, but I am bound to live up to what light I have.",Abraham Lincoln
moral-courage,"I am not bound to win, but I am bound to be true. I am not bound to succeed, but I am bound to live up to what light I have.",Abraham Lincoln
obligation,"I am not bound to win, but I am bound to be true. I am not bound to succeed, but I am bound to live up to what light I have.",Abraham Lincoln
truth,"I am not bound to win, but I am bound to be true. I am not bound to succeed, but I am bound to live up to what light I have.",Abraham Lincoln
life,"I can see how it might be possible for a man to look down upon the earth and be an atheist, but I cannot conceive how a man could look up into the heavens and say there is no God.",Abraham Lincoln
politics,"I can see how it might be possible for a man to look down upon the earth and be an atheist, but I cannot conceive how a man could look up into the heavens and say there is no God.",Abraham Lincoln
religion,"I can see how it might be possible for a man to look down upon the earth and be an atheist, but I cannot conceive how a man could look up into the heavens and say there is no God.",Abraham Lincoln
science,"I can see how it might be possible for a man to look down upon the earth and be an atheist, but I cannot conceive how a man could look up into the heavens and say there is no God.",Abraham Lincoln
bees,"I don't like to hear cut and dried sermons. No—when I hear a man preach, I like to see him act as if he were fighting bees.",Abraham Lincoln
chapel,"I don't like to hear cut and dried sermons. No—when I hear a man preach, I like to see him act as if he were fighting bees.",Abraham Lincoln
church,"I don't like to hear cut and dried sermons. No—when I hear a man preach, I like to see him act as if he were fighting bees.",Abraham Lincoln
god,"I don't like to hear cut and dried sermons. No—when I hear a man preach, I like to see him act as if he were fighting bees.",Abraham Lincoln
preacher,"I don't like to hear cut and dried sermons. No—when I hear a man preach, I like to see him act as if he were fighting bees.",Abraham Lincoln
preaching,"I don't like to hear cut and dried sermons. No—when I hear a man preach, I like to see him act as if he were fighting bees.",Abraham Lincoln
religion,"I don't like to hear cut and dried sermons. No—when I hear a man preach, I like to see him act as if he were fighting bees.",Abraham Lincoln
sermon,"I don't like to hear cut and dried sermons. No—when I hear a man preach, I like to see him act as if he were fighting bees.",Abraham Lincoln
sermons,"I don't like to hear cut and dried sermons. No—when I hear a man preach, I like to see him act as if he were fighting bees.",Abraham Lincoln
faith,I have been driven many times upon my knees by the overwhelming conviction that I had no where else to go. My own wisdom and that of all about me seemed insufficient for that day.,Abraham Lincoln
humility,I have been driven many times upon my knees by the overwhelming conviction that I had no where else to go. My own wisdom and that of all about me seemed insufficient for that day.,Abraham Lincoln
prayer,I have been driven many times upon my knees by the overwhelming conviction that I had no where else to go. My own wisdom and that of all about me seemed insufficient for that day.,Abraham Lincoln
surrender,I have been driven many times upon my knees by the overwhelming conviction that I had no where else to go. My own wisdom and that of all about me seemed insufficient for that day.,Abraham Lincoln
love,"I have come to the conclusion never again to think of marrying, and for this reason, I can never be satisfied with anyone who would be blockhead enough to have me.",Abraham Lincoln
marriage,"I have come to the conclusion never again to think of marrying, and for this reason, I can never be satisfied with anyone who would be blockhead enough to have me.",Abraham Lincoln
wisdom,"I have come to the conclusion never again to think of marrying, and for this reason, I can never be satisfied with anyone who would be blockhead enough to have me.",Abraham Lincoln
hope,"I laugh because I must not cry, that is all, that is all.",Abraham Lincoln
laugh,"I laugh because I must not cry, that is all, that is all.",Abraham Lincoln
frienship,I'm a success today because I had a friend who believed in me and I didn't have the heart to let him down.,Abraham Lincoln
success,I'm a success today because I had a friend who believed in me and I didn't have the heart to let him down.,Abraham Lincoln
humor,"If I were two-faced, would I be wearing this one?",Abraham Lincoln
dissent,"If there is anything that links the human to the divine, it is the courage to stand by a principle when everybody else rejects it.",Abraham Lincoln
inspirational,"If there is anything that links the human to the divine, it is the courage to stand by a principle when everybody else rejects it.",Abraham Lincoln
moral-courage,"If there is anything that links the human to the divine, it is the courage to stand by a principle when everybody else rejects it.",Abraham Lincoln
public-opinion,"If there is anything that links the human to the divine, it is the courage to stand by a principle when everybody else rejects it.",Abraham Lincoln
religion,"If there is anything that links the human to the divine, it is the courage to stand by a principle when everybody else rejects it.",Abraham Lincoln
god,"In great contests each party claims to act in accordance with the will of God. Both may be, and one must be wrong. God cannot be for, and against the same thing at the same time.",Abraham Lincoln
love,"In great contests each party claims to act in accordance with the will of God. Both may be, and one must be wrong. God cannot be for, and against the same thing at the same time.",Abraham Lincoln
peace,"In great contests each party claims to act in accordance with the will of God. Both may be, and one must be wrong. God cannot be for, and against the same thing at the same time.",Abraham Lincoln
war,"In great contests each party claims to act in accordance with the will of God. Both may be, and one must be wrong. God cannot be for, and against the same thing at the same time.",Abraham Lincoln
ignorance,"In times like the present, men should utter nothing for which they would not willingly be responsible through time and eternity.",Abraham Lincoln
knowledge,"In times like the present, men should utter nothing for which they would not willingly be responsible through time and eternity.",Abraham Lincoln
remaining-silent,"In times like the present, men should utter nothing for which they would not willingly be responsible through time and eternity.",Abraham Lincoln
wisdom,"In times like the present, men should utter nothing for which they would not willingly be responsible through time and eternity.",Abraham Lincoln
faith,It is difficult to make a man miserable while he feels worthy of himself and claims kindred to the great God who made him.,Abraham Lincoln
self-worth,It is difficult to make a man miserable while he feels worthy of himself and claims kindred to the great God who made him.,Abraham Lincoln
serenity,It is difficult to make a man miserable while he feels worthy of himself and claims kindred to the great God who made him.,Abraham Lincoln
inspirational,"Let no feeling of discouragement preyupon you, and in the end you are sure to succeed.",Abraham Lincoln
books,My Best Friend is a person who will give me a book I have not read.,Abraham Lincoln
inspirational,"My concern is not whether God is on our side; my greatest concern is to be on God's side, for God is always right.",Abraham Lincoln
philosophical,"My concern is not whether God is on our side; my greatest concern is to be on God's side, for God is always right.",Abraham Lincoln
politics,"My concern is not whether God is on our side; my greatest concern is to be on God's side, for God is always right.",Abraham Lincoln
religion,"My concern is not whether God is on our side; my greatest concern is to be on God's side, for God is always right.",Abraham Lincoln
religious,"My concern is not whether God is on our side; my greatest concern is to be on God's side, for God is always right.",Abraham Lincoln
 mother,No man is poor who has a Godly mother.,Abraham Lincoln
wisdom,No man is poor who has a Godly mother.,Abraham Lincoln
cats,"No matter how much the cats fight, there always seem to be plenty of kittens.",Abraham Lincoln
humor,"No matter how much the cats fight, there always seem to be plenty of kittens.",Abraham Lincoln
inspirational,"Republicans are for both the man and the dollar, but in case of conflict the man before the dollar.",Abraham Lincoln
politics,"Republicans are for both the man and the dollar, but in case of conflict the man before the dollar.",Abraham Lincoln
religion,"Republicans are for both the man and the dollar, but in case of conflict the man before the dollar.",Abraham Lincoln
bible,"Take all that you can of this book upon reason, and the balance on faith, and you will live and die a happier man. (When a skeptic expressed surprise to see him reading a Bible).",Abraham Lincoln
faith,"Take all that you can of this book upon reason, and the balance on faith, and you will live and die a happier man. (When a skeptic expressed surprise to see him reading a Bible).",Abraham Lincoln
happiness,"Take all that you can of this book upon reason, and the balance on faith, and you will live and die a happier man. (When a skeptic expressed surprise to see him reading a Bible).",Abraham Lincoln
success,"That some achieve great success, is proof to all that others can achieve it as well.",Abraham Lincoln
advice,The best way to predict your future is to create it.,Abraham Lincoln
future,The best way to predict your future is to create it.,Abraham Lincoln
life,The best way to predict your future is to create it.,Abraham Lincoln
self-determination,The best way to predict your future is to create it.,Abraham Lincoln
religion,"The Bible is not my book nor Christianity my profession. I could never give assent to the long, complicated statements of Christian dogma.",Abraham Lincoln
attractiveness,The Lord prefers common-looking people. That is why he made so many of them.,Abraham Lincoln
beauty,The Lord prefers common-looking people. That is why he made so many of them.,Abraham Lincoln
humor,The Lord prefers common-looking people. That is why he made so many of them.,Abraham Lincoln
life,The Lord prefers common-looking people. That is why he made so many of them.,Abraham Lincoln
people,The Lord prefers common-looking people. That is why he made so many of them.,Abraham Lincoln
education,The philosophy of the schoolroom in one generation is the philosophy of government in the next.,Abraham Lincoln
learning,The philosophy of the schoolroom in one generation is the philosophy of government in the next.,Abraham Lincoln
school,The philosophy of the schoolroom in one generation is the philosophy of government in the next.,Abraham Lincoln
inspiration,The probability that we may fail in the struggle ought not to deter usfrom the support of a cause we believe to be just.,Abraham Lincoln
moral-courage,The probability that we may fail in the struggle ought not to deter usfrom the support of a cause we believe to be just.,Abraham Lincoln
right,The probability that we may fail in the struggle ought not to deter usfrom the support of a cause we believe to be just.,Abraham Lincoln
right-and-wrong,The probability that we may fail in the struggle ought not to deter usfrom the support of a cause we believe to be just.,Abraham Lincoln
inspirational,Those who look for the bad in people will surely find it.,Abraham Lincoln
education,"Upon the subject of education, not presuming to dictate any plan or system respecting it, I can only say that I view it as the most important subject which we as a people can be engaged in.",Abraham Lincoln
inspirational,"Whatever you are, be a good one.",Abraham Lincoln
religion,"When I do good, I feel good. When I do bad, I feel bad. That's my religion.",Abraham Lincoln
freedom,"Whenever I hear anyone arguing for slavery, I feel a strong impulse to see it tried on him personally.",Abraham Lincoln
slavery,"Whenever I hear anyone arguing for slavery, I feel a strong impulse to see it tried on him personally.",Abraham Lincoln
wisdom,"Whenever I hear anyone arguing for slavery, I feel a strong impulse to see it tried on him personally.",Abraham Lincoln
inspirational,Writing is the great invention of the world.,Abraham Lincoln
writing,Writing is the great invention of the world.,Abraham Lincoln
communication,"Writing, the art of communicating thoughts to the mind through the eye, is the great invention of the world...enabling us to converse with the dead, the absent, and the unborn, at all distances of time and space.",Abraham Lincoln
space,"Writing, the art of communicating thoughts to the mind through the eye, is the great invention of the world...enabling us to converse with the dead, the absent, and the unborn, at all distances of time and space.",Abraham Lincoln
time,"Writing, the art of communicating thoughts to the mind through the eye, is the great invention of the world...enabling us to converse with the dead, the absent, and the unborn, at all distances of time and space.",Abraham Lincoln
writing,"Writing, the art of communicating thoughts to the mind through the eye, is the great invention of the world...enabling us to converse with the dead, the absent, and the unborn, at all distances of time and space.",Abraham Lincoln
hardship,"The people who had been recognized for making original contributions shared many more stories that started negatively but surged upward: they struggled early and triumphed later. Despite being confronted with more negative events, they reported greater satisfaction with their lives and a stronger sense of purpose.",Adam Grant
